label,text
Pneumonia,"I've been feeling really weak and cold lately, and this cough won't go away. It hurts in my chest when I cough, and my heart is pounding. I've been coughing up mucus that's a rusty brown color."
Impetigo,"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze"
Arthritis,"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking"
Dengue,I have a fever and my back hurts. I also have rashes on my arms and armpits. The back of my eyeballs hurt a lot. I'm worried about my health.
Arthritis,"My muscles are weak, and my neck is tight. My joints are swollen and it hurts to move."
Psoriasis,"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails"
Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Bronchial Asthma,"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum"
Common Cold,"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Acne,"skin_rash,pus_filled_pimples,blackheads,scurring"
Pneumonia,"The signs and symptoms of pneumonia vary from mild to severe, depending on factors such as the type of germ causing the infection, and your age and overall health. Mild signs and symptoms often are similar to those of a cold or flu, but they last longer. Signs and symptoms of pneumonia may include:  Chest pain when you breathe or cough Confusion or changes in mental awareness (in adults age 65 and older) Cough, which may produce phlegm Fatigue Fever, sweating and shaking chills Lower than normal body temperature (in adults older than age 65 and people with weak immune systems) Nausea, vomiting or diarrhea Shortness of breath  Newborns and infants may not show any sign of the infection. Or they may vomit, have a fever and cough, appear restless or tired and without energy, or have difficulty breathing and eating. When to see a doctor See your doctor if you have difficulty breathing, chest pain, persistent fever of 102 F (39 C) or higher, or persistent cough, especially if you're coughing up pus. It's especially important that people in these high-risk groups see a doctor:  Adults older than age 65 Children younger than age 2 with signs and symptoms People with an underlying health condition or weakened immune system People receiving chemotherapy or taking medication that suppresses the immune system  For some older adults and people with heart failure or chronic lung problems, pneumonia can quickly become a life-threatening condition."
Pneumonia,"chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum"
Common Cold,"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Pneumonia,"chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum"
Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
Psoriasis,I've been experiencing joint pain and skin peeling. I'm worried about what's going on with my body.
Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Arthritis,"I've been feeling weak and achy lately, and my joints are swollen and stiff. It's hard to move around, and walking is especially painful."
Arthritis,My muscles are weak and my neck is tight. I have swollen joints and it is hard to move around without getting stiff. It is also hard to walk.
Bronchial Asthma,"fatigue,cough,high_fever,breathlessness,family_history"
Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Pneumonia,"chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum"
Arthritis,"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking"
Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Impetigo,I have a rash on my face and near my nose. It's been there for a few days and it's starting to spread down my arms and legs.
Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Pneumonia,I'm having trouble breathing and I feel like I'm drowning. I'm coughing up a lot of phlegm and my chest hurts. I'm also sweating a lot and my heart is racing.
Common Cold,"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Common Cold,I'm tired and my neck feels swollen. My eyes are bloodshot and my throat is scratchy. My nose is stuffed up and my face feels like it's under pressure. I can't smell anything and my chest hurts.
Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Acne,"skin_rash,pus_filled_pimples,blackheads,scurring"
Dengue,"I've been having a lot of joint pain, and it's been really hard to walk. I've also lost my appetite, and I feel really weak and nauseous."
Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,dark_urine,abdominal_pain"
Common Cold,"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Common Cold,"continuous_sneezing,chills,fatigue,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Dengue,"skin_rash,chills,joint_pain,vomiting,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Bronchial Asthma,"I've been having trouble breathing, coughing, and feeling exhausted. I've been coughing up a lot of thick, mucusy stuff and have a fever. I'm just feeling really drained and tired."
Arthritis,My neck has been really tight and my muscles have felt weak. I can't move around without getting stiff and my joints are swollen. Walking is really uncomfortable.
Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Psoriasis,"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails"
Bronchial Asthma,"I'm having trouble breathing, and I'm coughing up a lot of mucus. I also have a fever and feel really weak and exhausted."
Bronchial Asthma,"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum"
Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Common Cold,"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,belly_pain"
Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Pneumonia,"chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum"
Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Acne,"skin_rash,blackheads,scurring"
Pneumonia,"I've been feeling really sick lately. I've been coughing a lot, and I've been having trouble breathing. I've also been having chills and a fever. I've been feeling really weak and tired. I've also been coughing up a lot of phlegm."
Common Cold,"continuous_sneezing,chills,fatigue,cough,high_fever,headache,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Pneumonia,"chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum"
Bronchial Asthma,"I have a cough that has been going on for a few days, and I feel really weak and tired. I have a high fever, and my breathing is getting harder. I also cough up a lot of mucus."
Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
Acne,"skin_rash,pus_filled_pimples,blackheads,scurring"
Pneumonia,"chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum"
Jaundice,"I have been feeling very sick lately. I have been having a lot of itching, vomiting, and fatigue. I have also lost a lot of weight and have a high fever. My skin has turned yellow and my urine is dark. I have also been having some abdominal pain."
Arthritis,"I've been experiencing stiffness in my neck, and my joints have enlarged. It's been difficult for me to move, and walking has been a challenge."
Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Malaria,"chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain"
Arthritis,"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking"
Typhoid,"chills,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Dengue,I have been having a really bad headache that is behind my eyes. I also have no appetite and feel really cold at night. 
Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,red_spots_over_body"
Bronchial Asthma,"cough,high_fever,breathlessness,family_history,mucoid_sputum"
Malaria,"I've been feeling really sick. I've had a fever, chills, vomiting, and severe itching. I've also had a headache, and I've been perspiring a lot. I've been feeling really nauseous and my muscles ache."
Acne,"skin_rash,pus_filled_pimples,blackheads,scurring"
Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Acne,"skin_rash,pus_filled_pimples,blackheads"
Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Bronchial Asthma,"fatigue,high_fever,breathlessness,family_history,mucoid_sputum"
Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Psoriasis,"I have been experiencing a lot of skin peeling and rashes on my arms, legs, and back. I also have joint pain."
Arthritis,"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking"
Pneumonia,"I've been feeling really sick for the past few days. I have a high fever, shortness of breath, and I'm coughing up a lot of sputum. I'm also sweating, feeling chills, and I'm really tired."
Arthritis,"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking"
Pneumonia,"I'm sweating and can't catch my breath. My throat is full of phlegm and I feel terrible. My heart is racing and my chest hurts. I'm coughing up stringy, brown mucus."
Psoriasis,"skin_rash,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails"
Psoriasis,"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails"
Migraine,"indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Jaundice,"itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Pneumonia,"chills,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum"
Arthritis,"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking"
Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Malaria,"vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Psoriasis,"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails"
Migraine,"I have been having headaches for a while now. They are very painful and last for a long time. I also get nausea, vomiting, and sensitivity to light and sound."
Common Cold,I've been sneezing a lot and my nose is running. I'm also really tired and my head hurts. I think I have a fever too.
Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
Pneumonia,"chills,fatigue,cough,high_fever,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum"
Acne,"skin_rash,blackheads,scurring"
Dengue,I have been vomiting frequently and have lost my appetite as a result. My joints and back pain all the time.
Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Psoriasis,"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails"
Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
Jaundice,"itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Typhoid,"I have been having diarrhea for a few days now. I have loose, watery stools and I have to go to the bathroom a lot. I also feel nauseated and have lost my appetite. I have a mild fever too."
Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
Bronchial Asthma,"fatigue,high_fever,breathlessness,family_history,mucoid_sputum"
Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Migraine,"I've been having headaches, blurred vision, and acid reflux. These symptoms have been disturbing me and interfering with my usual activities."
Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
Bronchial Asthma,"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum"
Impetigo,"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze"
Arthritis,"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking"
Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Common Cold,"I've been feeling really sick lately. I've got a runny nose, a fever, and I've been coughing a lot. I'm also really tired and I don't feel like eating much."
Pneumonia,"I've been feeling really sick for the past few days. I have a fever, I can't catch my breath, and I'm coughing up a lot of phlegm. My chest hurts, and my heart is racing."
Acne,"skin_rash,pus_filled_pimples,blackheads,scurring"
Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Impetigo,"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze"
Bronchial Asthma,"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum"
Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
Impetigo,"skin_rash,blister,red_sore_around_nose,yellow_crust_ooze"
Malaria,"I've been feeling really sick lately. I've been having a high fever, chills, and severe itching. I've also been vomiting and sweating a lot. I have a headache and nausea, and my muscles are sore."
Typhoid,"chills,vomiting,fatigue,high_fever,headache,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Typhoid,I have been having a fever for a few days now and it's starting to get worse. I also have a terrible stomach ache and I'm constipated.
Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Impetigo,"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze"
Jaundice,"I've been feeling really sick. I've had a fever, I've been losing weight, and I've been feeling really tired. My skin and my urine have turned yellow, and I've been having stomach pain."
Malaria,"I've been feeling really itchy all over my body, and I've been having chills and nausea. I've been sweating a lot and I have a really high fever. I feel sick to my stomach and I have a headache. My muscles are really sore."
Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Typhoid,I have a stomach ache and I am feeling feverish. I also have chills and a headache.
Impetigo,"I'm running a fever and I have a rash on my face, neck, and arms. The rash is painful and red. I'm worried about my health."
Arthritis,"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking"
Malaria,"I've been feeling really sick. I've been scratching a lot, and I've been having chills, vomiting, and a fever. I also have a headache and I'm sweating a lot. I've been feeling really nauseous, and my muscles are sore."
Typhoid,"chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Arthritis,"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking"
Arthritis,"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking"
Typhoid,I've been feeling really tired and weak for a few days now. I also have a fever and a pain in my stomach. I don't know what's wrong with me.
Common Cold,"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Common Cold,"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Pneumonia,"chills,fatigue,cough,high_fever,breathlessness,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum"
Jaundice,"itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Acne,"skin_rash,pus_filled_pimples,blackheads,scurring"
Typhoid,"I've been having diarrhea for the past few days. It's been really bad, and it's been accompanied by abdominal cramps and bloating."
Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Psoriasis,"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails"
Psoriasis,"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails"
Dengue,I have a rash all over my body and it's really itchy. I'm also vomiting and my joints hurt. 
Impetigo,I have been feeling really tired and I have a fever. I have a rash on my face and it is very itchy. I can't sleep because of the rash.
Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Pneumonia,"chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum"
Psoriasis,"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails"
Common Cold,"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Pneumonia,"chills,fatigue,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum"
Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Arthritis,"muscle_weakness,swelling_joints,movement_stiffness,painful_walking"
Typhoid,"chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Jaundice,"itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Psoriasis,"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails"
Bronchial Asthma,"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum"
Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Migraine,"I have been having headaches for a long time. They are usually on one side of my head and are very painful. I also get nausea, vomiting, and sensitivity to light and sound."
Pneumonia,"chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum"
Bronchial Asthma,"I've been having trouble breathing, coughing a lot, and feeling exhausted. I have a fever and have been coughing up a lot of thick, sticky mucus. I'm just so tired and worn out from dealing with this."
Common Cold,"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Impetigo,"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze"
Dengue,"skin_rash,chills,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
Migraine,"acidity,indigestion,headache,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Acne,"skin_rash,pus_filled_pimples,blackheads,scurring"
Jaundice,"itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Bronchial Asthma,"fatigue,cough,breathlessness,family_history,mucoid_sputum"
Common Cold,"continuous_sneezing,chills,fatigue,cough,high_fever,headache,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Acne,"skin_rash,pus_filled_pimples,scurring"
Psoriasis,"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails"
Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Pneumonia,"I've been feeling really sick lately. I've had a fever, chills, fatigue, a cough, and difficulty breathing. I've also been sweating a lot and just feeling really weak. I've also had some phlegm that's been really thick and dark."
Arthritis,"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking"
Pneumonia,"chills,fatigue,cough,high_fever,breathlessness,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum"
Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances"
Psoriasis,"I have a skin condition that causes dry, red, scaly patches on my skin. It can be itchy and painful, and it can get worse when I'm stressed or if I'm exposed to certain triggers, like sunlight or certain chemicals."
Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain"
Pneumonia,"chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum"
Malaria,"I have a really high fever, and I've been perspiring a lot. I've also been experiencing chills, vomiting, and severe body itchiness. I feel queasy and have a headache. My muscles are in excruciating discomfort."
Psoriasis,I have a skin rash that gets worse in the winter when the air is dry. I have to moisturize more regularly and use humidifiers to keep my skin moisturized. I also have joint pain.
Common Cold,"continuous_sneezing,chills,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Acne,"skin_rash,pus_filled_pimples,blackheads"
Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Dengue,"I have been experiencing muscle pain and headache. The muscle pain is like a constant ache that is worse when I try to use the affected muscles. I also have small red spots developing on my face, neck and arms."
Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Acne,"skin_rash,pus_filled_pimples,blackheads,scurring"
Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
Arthritis,"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking"
Arthritis,"muscle_weakness,swelling_joints,movement_stiffness,painful_walking"
Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances"
Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Acne,"skin_rash,blackheads,scurring"
Psoriasis,"skin_rash,joint_pain,skin_peeling,small_dents_in_nails,inflammatory_nails"
Common Cold,"continuous_sneezing,chills,fatigue,cough,high_fever,headache,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Psoriasis,"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails"
Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Arthritis,"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking"
Bronchial Asthma,"cough,high_fever,breathlessness,family_history,mucoid_sputum"
Bronchial Asthma,"I've had this cough for days, and it's really hard to breathe. I'm also really tired and weak, and I have a fever. I've been coughing up a lot of mucus, and it's just been really hard to deal with all of this."
Impetigo,"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze"
Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Acne,"skin_rash,pus_filled_pimples,blackheads,scurring"
Bronchial Asthma,"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum"
Typhoid,"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain"
Migraine,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Common Cold,"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Impetigo,"I have a rash on my skin that is red, raised, and filled with fluid. It is painful to touch and I have a fever."
Migraine,"indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances"
Acne,"skin_rash,pus_filled_pimples,blackheads,scurring"
Dengue,"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
Dengue,"skin_rash,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body"
Common Cold,"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Jaundice,"itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain"
Psoriasis,"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails"
